snp,ch,en,abbr
,机器学习术语,,
train_snp,训练,train,
validate_snp,验证,validate,
validation_snp,验证,validation,
posi_sample_snp,正样本,positive sample,
nega_sample_snp,负样本,negative sample,
test_snp,测试,test,
ml_snp,机器学习,machine learning,
infe_snp,推断,inference,
gen_snp,泛化,generalization,
ts_snp,训练集,training set,
vs_snp,验证集,validation set,
tes_snp,测试集,test set,
bc_snp,二分类,binary classification,
mc_snp,多分类,multi-class classification,
cluster_snp,聚类,clustering,
classi_snp,分类,classification,
regress_snp,回归,regression,
hp_snp,超参数,hyper-parameters,
cv_snp,交叉验证,cross-validation,
rs_snp,增强信号,reinforcement signal,
feex_snp,特征提取,feature extraction,
fese_snp,特征选择,feature selection,
ovfi_snp,过拟合,over-fitting,
agent_snp,智能体,agent,
regular_snp,正则化,Regularization,
cost_func_snp,损失函数,cost function,
gradient_snp,梯度,gradient,
feve_snp,特征向量,feature vector,
classifier,分类器,classifier,
,模型,,
anns_snp,人工神经网络,artificial neural networks,ANNs
cnn_snp,卷积神经网络,convolutional neural network,CNN
auto_encoder_snp,自编码网络,auto-encoder,
multilayer_feedforward_snp,多层前馈,multilayer feedforward,
rbf_snp,径向基函数,radial basis function,RBF
lvq_snp,学习向量量化,learning vector quantization,LVQ
time_delay_snp,延时,time-delay,
narx_snp,非线性自回归,nonlinear auto-regressive,NARX
rnn_snp,循环神经网络,recurrent neural network,RNN
nn_snp,神经网络,neural networks,
pca_snp,主成分分析,principal component analysis,PCA
factor_ana_snp,因子分析,factor analysis,
svm_snp,支持向量机,support vector machines,SVM
boosted_snp,促进式,boosted,
bagged_snp,袋装,bagged,
out_of_bag_snp,袋外,out-of-bag,
detree_snp,决策树,decision tree,
naba_snp,朴素贝叶斯分类,naive-bayes,
knn_snp,K-邻近分类算法,k-Nearest neighbor,KNN
kmean_snp,K-均值聚类算法,k-means,
kmed_snp,K-邻近样本中心算法,k-medoids,
hiclu_snp,层次聚类法,hierarchical clustering,
gmm_snp,高斯混合模型,gaussian mixture models,GMM
hmm_snp,隐马尔科夫模型,hidden markov models,HMM
anova_snp,方差分析,analysis of variance,ANOVA
reme_snp,重复测量分析,repeated measures analysis,
mief_snp,混合效应模型,mixed-effects models,
lore_snp,逻辑回归,logistic regression,
dian_snp,判别分析,discriminant analysis,
binning_snp,分箱,binning,
node_snp,节点,node,
branch_snp,分支,branch,
leaf_snp,叶节点,leaf node,
,,,
,matlab自己的术语,,
toolbox_snp,工具箱,toolbox,
classi_learner_app_snp,分类器APP,classification learner APP,
curve_fitting_app_snp,曲线拟合APP,curve fitting APP,
smltb_snp,统计机器学习工具箱,statistics and machine learning toolbox,
nntb_snp,神经网络工具箱,neural network toolbox,
fltb_snp,模糊逻辑工具箱,fuzzy logic toolbox,
pctb_snp,并行计算工具箱,parallel computing toolbox,
character_vector_snp,字符向量,character vector,
depl_snp,树状聚类图,dendrogram plot,
acop_snp,数组串联运算符,array concatenation operator,
concatenation_snp,串联,,
concatenate_snp,串联,,
character_array_snp,字符数组,character array,
structure_array_snp,结构体数组,structure array/struct array,
structure_snp,结构体,structure,
tabular_data_snp,表单数据,tabular data,
key_var_snp,键变量,key variable,
logical_array_snp,逻辑值数组,logical array,
categorical_array_snp,分类数组,categorical array,
categorical_unordered_snp,无序分类的,categorical unordered,
categorical_ordered_snp,有序分类的,categorical ordered,
oca_snp,有序分类数组,ordinal categorical arrays,
format_specification_snp,数据字段的格式,format specification,formatSpec
conversion_specifier_snp,转换设定符,conversion specifier,
single_snp,单精度,single precision,
double_snp,双精度,double precision,
comma_separated_list_snp,逗号分隔的列表,comma-separated list,
indexing_snp,索引,indexing,
index_snp,索引,index,
field_snp,字段,field,
dot_notation_snp,原点表示法,dot notation,
tabular_array_snp,表格类数组,,
tabular_data_snp,表格类数据,,
,,,
,是否作翻译还需要做商讨的专有名词（比如matlab数据类型，目前是没有作翻译）,,
cell_snp,cell,,
table_snp,table,,
cell_array_snp,cell数组,,
table_variable_snp,table变量,,
bin_snp,bin,,
,,,
,matlabGUI及图形术语,,
workspace_snp,工作区,workspace,
desktop_snp,桌面,,
panel_snp,面板,,
prompt_snp,命令提示符（>>）,,
Enter_snp,回车键,Enter,
current_folder_snp,当前文件夹,current folder,
command_window_snp,命令窗口,command window,
command_history_snp,命令历史记录,command history,
editor_snp,编辑器,editor,
variables_window_snp,变量窗口,variables window,
help_browser_snp,MATLAB帮助页面,Help browser,
ribbon_interface_snp,功能分区界面,ribbon interface,
tab_snp,选项卡,,
section_snp,功能区,,
control_snp,控件,,
button_snp,按钮,,
drop_down_menu_snp,下拉菜单,,
user_interface_snp,用户界面接口,,
import_wizard_snp,导入向导,Import Wizard,
import_tool_snp,导入工具,Import Tool,
title_bar_snp,标题栏,,
toolstrip_snp,工具栏,,
toolbar_snp,工具栏,,
data_statistics_snp,图形数据统计分析,data statistics,
property_editor_snp,属性修改,property editor,
dialog_box_snp,对话框,dialog box,
legend_snp,图例,legend,
box_plot_snp,箱形图,box plot,
box_whisker_plot_snp,箱须图,box-whisker plot,
whisker_snp,晶须,,
scatter_plot_snp,散点图,scatter plot,
grouped_sp_snp,分组散点图,,
spm_snp,散点图矩阵,scatter plot matrix,
histogram_snp,柱状图,histogram,
scatter_histogram_snp,散点柱状图,scatter histogram,
3D_histogram_snp,三维柱状图,3D histogram,
control_chart_snp,控制图,control chart,
q_q_plot_snp,分位图/QQ图,quantile-quantile plot,q-q plot
dendrogram_snp,树状聚类图,dendrogram,
biplot_snp,双标图,biplot,
parallel_coordinate_charts_snp,并行坐标图,parallel coordinate charts,
andrew_plot_snp,安德烈图,andrew plot,
glyph_plot_snp,星座图,glyph plot,
probability_plot_snp,概率分布图,probability plot,
checkbox_snp,复选框,,
line_width_snp,线条宽度,,
line_style_snp,线型,,
marker_snp,标记符号,,
axis_label_snp,坐标轴标题,,
,,,
,统计学术语,,
induction_snp,归纳,induction,
deduction_snp,演绎,deduction,
abduction_snp,回溯,abduction,
dispersion_snp,分散度、弥散度,dispersion,
outlier_snp,异常值,,
derived_variable_snp,派生数据,,
dst_snp,描述性统计方法,descriptive statistical technique,
imputation_snp,插补,imputation,
central_tendency_snp,集中趋势,central tendency,
shape_snp,分布形状,distribution shape,
correlation_snp,相关性,correlation,
posi_corr_snp,正相关,positive correlation,
nega_corr_snp,负相关,negative correlation,
corre_coefft_snp,相关系数,correlation coefficient,
linear_correlation_snp,线性相关,linear correlation,
rank_correlation_snp,等级相关或秩相关,rank correlation,
covariance_snp,协方差,covariance,
quantile_snp,分位数,quantile,
quartile_snp,四分位数,quartile,
percentile_snp,百分位数,percentile,
range_snp,极差,range,
iqr_range_snp,四分卫距,interquartile range,
variance_snp,方差,variance,
variability_snp,变异性,variability,
kurtosis_snp,峰度,kurtosis,
skewness_snp,偏度,skewness,
posi_skew_snp,正偏/左偏,positive skewness,
nega_skew_snp,负偏/右偏,negative skewness,
mesokurtic_snp,常峰态,mesokurtic,
platykurtic_snp,低峰态,platykurtic,
leptokurtic_snp,尖峰态,leptokurtic,
heavy_tailed_snp,后尾,,
light_tailed_snp,薄尾,,
std_snp,标准差,standard deviation,
mad_snp,平均绝对离差,mean absolute deviation,
mad2_snp,绝对中位差,median absolute deviation,
kernel_smoothing_snp,核光滑,kernel-smoothing,
density_estimation_snp,密度估计,density estimation,
pdf_snp,概率密度函数,probability density function,
quantitative_variable_snp,定量变量,quantitative variable,
qualitative_variable_snp,定性变量,qualitative variable,
continuous_variable_snp,连续变量,continuous variable,
interval_var_snp,定距变量,interval variable,
ratio_var_snp,定比变量,ratio variable,
interval_scale_snp,定距尺度,interval scale,
ratio_scale_snp,定比尺度,ratio scale,
ratio_snp,定比,ratio,
categorical_variable_snp,分类变量,categorical variable,
nominal_var_snp,定类变量,nominal variable,
dichotomous_var_snp,二分变量,dichotomous variable,
ordinal_var_snp,定序变量,ordinal variable,
ordinal_scale_snp,定序尺度,ordinal scale,
data_wrangling_snp,数据整理,data wrangling,
univariate_snp,一元,univariate,
bivariate_snp,二元,bivariate,
multivariate_snp,多元,multivariate,
local_para_snp,定位参数,localization parameter,
ols_snp,普通最小二乘法,ordinary least squares,OLS
,,,
,图像处理术语,,
bit_depth_snp,色深,bit-depth,
,,,
,音频处理术语,,
sample_rate_snp,采样率,sample rate,
,,,
,数学术语,,
nmf_snp,非负矩阵因式分解,non-negative matrix factorization,NMF
,,,
,其他常用词汇替换,,
zyr_snp,译者注：,,
yzz_snp,译者注：,,
keyboard_tab_snp,制表符,tab,
csv_snp,逗号分隔值,Comma-Separated Values,CSV
ASCII_delimited_file_snp,ASCII 分隔的文件,ASCII-delimited file,
column_header_snp,列标题,,
uci_snp,加州大学尔湾分校机器学习数据集,UCI Machine Learning Repository,
